,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
905,Gordonia~phage~ClubL,Caudovirales,Siphoviridae,Smoothievirus,408_0,Clustered,4,VC_408_0,4,0.506,0.99986588,0.5059,1,1,1,1.0
906,Gordonia~phage~Cozz,Caudovirales,Siphoviridae,Emalynvirus,402_0,Clustered,4,VC_402_0,4,0.6574,0.99995678,0.6574,1,1,1,1.0
907,Gordonia~phage~Crocheter,Caudovirales,Siphoviridae,Unassigned,169_1,Clustered,12,VC_169_1,12,0.6338,1.0,0.6338,2,1,1,0.8636
908,Gordonia~phage~Cucurbita,Caudovirales,Siphoviridae,Smoothievirus,408_0,Clustered,4,VC_408_0,4,0.506,0.99986588,0.5059,1,1,1,1.0
909,Gordonia~phage~Daredevil,Caudovirales,Siphoviridae,Daredevilvirus,407_0,Clustered,2,VC_407_0,2,0.2068,0.93981753,0.1944,2,1,1,1.0
910,Gordonia~phage~Duffington,Caudovirales,Siphoviridae,Unassigned,169_1,Clustered,12,VC_169_1,12,0.6338,1.0,0.6338,2,1,1,0.8636
911,Gordonia~phage~Emalyn,Caudovirales,Siphoviridae,Emalynvirus,402_0,Clustered,4,VC_402_0,4,0.6574,0.99995678,0.6574,1,1,1,1.0
912,Gordonia~phage~Fairfaxidum,Caudovirales,Siphoviridae,Unassigned,334_0,Clustered,8,VC_334_0,8,0.6928,1.0,0.6928,1,1,1,1.0
913,Gordonia~phage~Flakey,Caudovirales,Siphoviridae,Montyvirus,396_0,Clustered,12,VC_396_0,12,0.5726,1.0,0.5726,2,1,1,1.0
914,Gordonia~phage~Fryberger,Caudovirales,Siphoviridae,Ronaldovirus,416_0,Clustered,2,VC_416_0,2,0.9624,0.92975811,0.8948,1,1,1,1.0
915,Gordonia~phage~GMA5,Caudovirales,Siphoviridae,Unassigned,171_0,Clustered,5,VC_171_0,5,0.7467,0.99987368,0.7466,2,1,1,1.0
916,Gordonia~phage~GMA7,Caudovirales,Siphoviridae,Getseptimavirus,396_1,Clustered,2,VC_396_1,2,0.0529,0.95206366,0.0503,1,1,1,1.0
917,Gordonia~phage~GRU1,Caudovirales,Siphoviridae,Unassigned,338_0,Clustered,3,VC_338_0,3,0.6444,0.9981114,0.6431,1,1,1,1.0
918,Gordonia~phage~GRU3,Caudovirales,Siphoviridae,Unassigned,171_0,Clustered,5,VC_171_0,5,0.7467,0.99987368,0.7466,2,1,1,1.0
919,Gordonia~phage~GTE2,Caudovirales,Siphoviridae,Emalynvirus,402_0,Clustered,4,VC_402_0,4,0.6574,0.99995678,0.6574,1,1,1,1.0
920,Gordonia~phage~GTE5,Caudovirales,Siphoviridae,Unassigned,338_0,Clustered,3,VC_338_0,3,0.6444,0.9981114,0.6431,1,1,1,1.0
921,Gordonia~phage~GTE6,Caudovirales,Siphoviridae,Unassigned,70_0,Clustered,5,VC_70_0,5,0.7897,0.99999276,0.7897,2,1,1,1.0
922,Gordonia~phage~GTE7,Caudovirales,Siphoviridae,Getseptimavirus,396_1,Clustered,2,VC_396_1,2,0.0529,0.95206366,0.0503,1,1,1,1.0
923,Gordonia~phage~GTE8,Caudovirales,Siphoviridae,Unassigned,338_0,Clustered,3,VC_338_0,3,0.6444,0.9981114,0.6431,1,1,1,1.0
924,Gordonia~phage~Getalong,Caudovirales,Siphoviridae,Getalongvirus,399_0,Clustered,6,VC_399_0,6,0.5226,1.0,0.5226,3,1,1,1.0
925,Gordonia~phage~Gibbin,Caudovirales,Siphoviridae,Unassigned,418_0,Clustered,5,VC_418_0,5,0.4843,0.99999991,0.4843,1,1,1,1.0
926,Gordonia~phage~Gsput1,Caudovirales,Siphoviridae,Gesputvirus,153_0,Clustered,3,VC_153_0,3,0.667,0.99807648,0.6657,2,1,1,1.0
927,Gordonia~phage~Guacamole,Caudovirales,Siphoviridae,Unassigned,334_0,Clustered,8,VC_334_0,8,0.6928,1.0,0.6928,1,1,1,1.0
928,Gordonia~phage~Gustav,Caudovirales,Siphoviridae,Gustavvirus,154_0,Clustered,3,VC_154_0,3,0.3926,0.9984748,0.392,2,1,1,1.0
929,Gordonia~phage~Horus,Caudovirales,Siphoviridae,Horusvirus,399_0,Clustered,6,VC_399_0,6,0.5226,1.0,0.5226,3,1,1,1.0
930,Gordonia~phage~Hotorobo,Caudovirales,Siphoviridae,Woesvirus,396_0,Clustered,12,VC_396_0,12,0.5726,1.0,0.5726,2,1,1,1.0
931,Gordonia~phage~Jellybones,Caudovirales,Siphoviridae,Montyvirus,396_0,Clustered,12,VC_396_0,12,0.5726,1.0,0.5726,2,1,1,1.0
932,Gordonia~phage~John316,Caudovirales,Siphoviridae,Montyvirus,396_0,Clustered,12,VC_396_0,12,0.5726,1.0,0.5726,2,1,1,1.0
933,Gordonia~phage~Kenna,Caudovirales,Siphoviridae,Getalongvirus,399_0,Clustered,6,VC_399_0,6,0.5226,1.0,0.5226,3,1,1,1.0
934,Gordonia~phage~Kenosha,Caudovirales,Siphoviridae,Unassigned,169_1,Clustered,12,VC_169_1,12,0.6338,1.0,0.6338,2,1,1,0.8636
935,Gordonia~phage~Kita,Caudovirales,Siphoviridae,Nymphadoravirus,400_1,Clustered,5,VC_400_1,5,0.4019,0.99999994,0.4019,2,1,1,0.9
936,Gordonia~phage~Lambo,Caudovirales,Siphoviridae,Unassigned,418_0,Clustered,5,VC_418_0,5,0.4843,0.99999991,0.4843,1,1,1,1.0
937,Gordonia~phage~Lennon,Caudovirales,Siphoviridae,Vividuovirus,70_0,Clustered,5,VC_70_0,5,0.7897,0.99999276,0.7897,2,1,1,1.0
938,Gordonia~phage~Mahdia,Caudovirales,Siphoviridae,Gustavvirus,154_0,Clustered,3,VC_154_0,3,0.3926,0.9984748,0.392,2,1,1,1.0
939,Gordonia~phage~McGonagall,Caudovirales,Siphoviridae,Unassigned,171_0,Clustered,5,VC_171_0,5,0.7467,0.99987368,0.7466,2,1,1,1.0
940,Gordonia~phage~Monty,Caudovirales,Siphoviridae,Woesvirus,396_0,Clustered,12,VC_396_0,12,0.5726,1.0,0.5726,2,1,1,1.0
941,Gordonia~phage~Nymphadora,Caudovirales,Siphoviridae,Nymphadoravirus,400_1,Clustered,5,VC_400_1,5,0.4019,0.99999994,0.4019,2,1,1,0.9
942,Gordonia~phage~Obliviate,Caudovirales,Siphoviridae,Unassigned,334_0,Clustered,8,VC_334_0,8,0.6928,1.0,0.6928,1,1,1,1.0
943,Gordonia~phage~OhMyWard,Caudovirales,Siphoviridae,Unassigned,169_1,Clustered,12,VC_169_1,12,0.6338,1.0,0.6338,2,1,1,0.8636
944,Gordonia~phage~OneUp,Caudovirales,Siphoviridae,Smoothievirus,408_1,Clustered,2,VC_408_1,2,0.1687,0.9425638,0.159,2,1,1,1.0
945,Gordonia~phage~Phinally,Caudovirales,Siphoviridae,Unassigned,70_0,Clustered,5,VC_70_0,5,0.7897,0.99999276,0.7897,2,1,1,1.0
946,Gordonia~phage~Phistory,Caudovirales,Siphoviridae,Phistoryvirus,399_0,Clustered,6,VC_399_0,6,0.5226,1.0,0.5226,3,1,1,1.0
947,Gordonia~phage~Ranch,Caudovirales,Siphoviridae,Unassigned,418_0,Clustered,5,VC_418_0,5,0.4843,0.99999991,0.4843,1,1,1,1.0
948,Gordonia~phage~Rickmore,Caudovirales,Siphoviridae,Unassigned,169_1,Clustered,12,VC_169_1,12,0.6338,1.0,0.6338,2,1,1,0.8636
949,Gordonia~phage~Ronaldo,Caudovirales,Siphoviridae,Ronaldovirus,416_0,Clustered,2,VC_416_0,2,0.9624,0.92975811,0.8948,1,1,1,1.0
950,Gordonia~phage~Ruthy,Caudovirales,Siphoviridae,Ruthyvirus,333_1,Clustered,2,VC_333_1,2,0.0708,0.95464712,0.0676,2,1,1,1.0
951,Gordonia~phage~Sadboi,Caudovirales,Siphoviridae,Unassigned,418_0,Clustered,5,VC_418_0,5,0.4843,0.99999991,0.4843,1,1,1,1.0
952,Gordonia~phage~Secretariat,Caudovirales,Siphoviridae,Unassigned,169_1,Clustered,12,VC_169_1,12,0.6338,1.0,0.6338,2,1,1,0.8636
953,Gordonia~phage~Smoothie,Caudovirales,Siphoviridae,Smoothievirus,408_0,Clustered,4,VC_408_0,4,0.506,0.99986588,0.5059,1,1,1,1.0
954,Gordonia~phage~SoilAssassin,Caudovirales,Siphoviridae,Attisvirus,400_0,Clustered,2,VC_400_0,2,0.167,0.95456261,0.1594,1,1,1,1.0
955,Gordonia~phage~Sombrero,Caudovirales,Siphoviridae,Montyvirus,396_0,Clustered,12,VC_396_0,12,0.5726,1.0,0.5726,2,1,1,1.0
956,Gordonia~phage~Sour,Caudovirales,Siphoviridae,Sourvirus,422_0,Clustered/Singleton,1,VC_422_0,1,0.0,1.0,0.0,1,1,1,1.0
957,Gordonia~phage~Splinter,Caudovirales,Siphoviridae,Vendettavirus,153_0,Clustered,3,VC_153_0,3,0.667,0.99807648,0.6657,2,1,1,1.0
958,Gordonia~phage~SteveFrench,Caudovirales,Siphoviridae,Montyvirus,396_0,Clustered,12,VC_396_0,12,0.5726,1.0,0.5726,2,1,1,1.0
959,Gordonia~phage~Suzy,Caudovirales,Siphoviridae,Terapinvirus,419_0,Clustered,2,VC_419_0,2,0.167,0.95225488,0.159,1,1,1,1.0
960,Gordonia~phage~Tanis,Caudovirales,Siphoviridae,Unassigned,169_1,Clustered,12,VC_169_1,12,0.6338,1.0,0.6338,2,1,1,0.8636
961,Gordonia~phage~Terapin,Caudovirales,Siphoviridae,Terapinvirus,419_0,Clustered,2,VC_419_0,2,0.167,0.95225488,0.159,1,1,1,1.0
962,Gordonia~phage~Trine,Caudovirales,Siphoviridae,Trinevirus,154_0,Clustered,3,VC_154_0,3,0.3926,0.9984748,0.392,2,1,1,1.0
963,Gordonia~phage~Troje,Caudovirales,Siphoviridae,Emalynvirus,402_0,Clustered,4,VC_402_0,4,0.6574,0.99995678,0.6574,1,1,1,1.0
964,Gordonia~phage~Twister6,Caudovirales,Siphoviridae,Wizardvirus,71_0,Clustered,2,VC_71_0,2,0.3491,0.9510919,0.332,1,1,1,1.0
965,Gordonia~phage~UmaThurman,Caudovirales,Siphoviridae,Unassigned,334_0,Clustered,8,VC_334_0,8,0.6928,1.0,0.6928,1,1,1,1.0
966,Gordonia~phage~Untouchable,Caudovirales,Siphoviridae,Unassigned,169_1,Clustered,12,VC_169_1,12,0.6338,1.0,0.6338,2,1,1,0.8636
967,Gordonia~phage~Utz,Caudovirales,Siphoviridae,Unassigned,334_0,Clustered,8,VC_334_0,8,0.6928,1.0,0.6928,1,1,1,1.0
968,Gordonia~phage~Vendetta,Caudovirales,Siphoviridae,Vendettavirus,153_0,Clustered,3,VC_153_0,3,0.667,0.99807648,0.6657,2,1,1,1.0
969,Gordonia~phage~Vivi2,Caudovirales,Siphoviridae,Vividuovirus,70_0,Clustered,5,VC_70_0,5,0.7897,0.99999276,0.7897,2,1,1,1.0
970,Gordonia~phage~Wizard,Caudovirales,Siphoviridae,Wizardvirus,71_0,Clustered,2,VC_71_0,2,0.3491,0.9510919,0.332,1,1,1,1.0
971,Gordonia~phage~Woes,Caudovirales,Siphoviridae,Woesvirus,396_0,Clustered,12,VC_396_0,12,0.5726,1.0,0.5726,2,1,1,1.0
972,Gordonia~phage~Yeezy,Caudovirales,Siphoviridae,Baxtervirus,400_1,Clustered,5,VC_400_1,5,0.4019,0.99999994,0.4019,2,1,1,0.9
973,Gordonia~phage~Yikes,Caudovirales,Siphoviridae,Unassigned,418_0,Clustered,5,VC_418_0,5,0.4843,0.99999991,0.4843,1,1,1,1.0
974,Gordonia~phage~Zirinka,Caudovirales,Siphoviridae,Nymphadoravirus,400_1,Clustered,5,VC_400_1,5,0.4019,0.99999994,0.4019,2,1,1,0.9
975,Haemophilus~phage~Aaphi23,Caudovirales,Myoviridae,Unassigned,123_0,Clustered,2,VC_123_0,2,0.4216,0.94516662,0.3984,1,1,1,1.0
976,Haemophilus~virus~HP1,Caudovirales,Myoviridae,Hp1virus,120_0,Clustered,15,VC_120_0,15,0.9036,1.0,0.9036,9,2,2,1.0
977,Haemophilus~virus~HP2,Caudovirales,Myoviridae,Hp1virus,120_0,Clustered,15,VC_120_0,15,0.9036,1.0,0.9036,9,2,2,1.0
978,Haloarcula~californiae~icosahedral~virus~1,Halopanivirales,Sphaerolipoviridae,Alphasphaerolipovirus,430_0,Clustered,4,VC_430_0,4,1.0,1.0,1.0,1,1,1,1.0
979,Haloarcula~hispanica~icosahedral~virus~2,Halopanivirales,Sphaerolipoviridae,Alphasphaerolipovirus,430_0,Clustered,4,VC_430_0,4,1.0,1.0,1.0,1,1,1,1.0
980,Haloarcula~hispanica~pleomorphic~virus~1,Haloruvirales,Pleolipoviridae,Alphapleolipovirus,431_0,Clustered,5,VC_431_0,5,1.0,1.0,1.0,1,1,1,1.0
981,Haloarcula~hispanica~pleomorphic~virus~2,Haloruvirales,Pleolipoviridae,Alphapleolipovirus,431_0,Clustered,5,VC_431_0,5,1.0,1.0,1.0,1,1,1,1.0
982,Haloarcula~hispanica~pleomorphic~virus~3,Haloruvirales,Pleolipoviridae,Betapleolipovirus,432_0,Clustered,2,VC_432_0,2,0.8113,0.72985431,0.5922,1,1,1,1.0
983,Haloarcula~hispanica~pleomorphic~virus~4,Haloruvirales,Pleolipoviridae,Betapleolipovirus,432_0,Clustered,2,VC_432_0,2,0.8113,0.72985431,0.5922,1,1,1,1.0
984,Haloarcula~hispanica~virus~PH1,Halopanivirales,Sphaerolipoviridae,Alphasphaerolipovirus,430_0,Clustered,4,VC_430_0,4,1.0,1.0,1.0,1,1,1,1.0
985,Haloarcula~hispanica~virus~SH1,Halopanivirales,Sphaerolipoviridae,Alphasphaerolipovirus,430_0,Clustered,4,VC_430_0,4,1.0,1.0,1.0,1,1,1,1.0
986,Halocynthia~phage~JM-2012,Caudovirales,Myoviridae,Unassigned,345_0,Clustered,2,VC_345_0,2,0.0198,0.91173141,0.018,1,2,2,1.0
987,Halomonas~virus~HAP1,Caudovirales,Myoviridae,Hapunavirus,370_0,Clustered,2,VC_370_0,2,0.2235,0.95028121,0.2124,1,1,1,1.0
988,Halorubrum~phage~CGphi46,Unassigned,Unassigned,Unassigned,145_0,Clustered,2,VC_145_0,2,0.8308,0.72985431,0.6063,1,2,2,1.0
989,Halorubrum~phage~HF2,Caudovirales,Myoviridae,Unassigned,435_0,Clustered,3,VC_435_0,3,0.7435,0.99294245,0.7382,1,1,1,1.0
990,Halorubrum~pleomorphic~virus~1,Haloruvirales,Pleolipoviridae,Alphapleolipovirus,431_0,Clustered,5,VC_431_0,5,1.0,1.0,1.0,1,1,1,1.0
991,Halorubrum~pleomorphic~virus~10,Haloruvirales,Pleolipoviridae,Betapleolipovirus,433_0,Clustered,3,VC_433_0,3,0.7952,0.9595722,0.7631,1,1,1,1.0
992,Halorubrum~pleomorphic~virus~11,Haloruvirales,Pleolipoviridae,Betapleolipovirus,433_0,Clustered,3,VC_433_0,3,0.7952,0.9595722,0.7631,1,1,1,1.0
993,Halorubrum~pleomorphic~virus~12,Haloruvirales,Pleolipoviridae,Betapleolipovirus,433_0,Clustered,3,VC_433_0,3,0.7952,0.9595722,0.7631,1,1,1,1.0
994,Halorubrum~pleomorphic~virus~2,Haloruvirales,Pleolipoviridae,Alphapleolipovirus,431_0,Clustered,5,VC_431_0,5,1.0,1.0,1.0,1,1,1,1.0
995,Halorubrum~pleomorphic~virus~6,Haloruvirales,Pleolipoviridae,Alphapleolipovirus,431_0,Clustered,5,VC_431_0,5,1.0,1.0,1.0,1,1,1,1.0
996,Halovirus~HCTV-1,Unassigned,Unassigned,Unassigned,434_0,Clustered,3,VC_434_0,3,0.9085,0.98867275,0.8982,1,1,1,1.0
997,Halovirus~HCTV-2,Unassigned,Unassigned,Unassigned,437_0,Clustered,2,VC_437_0,2,0.4708,0.85557782,0.4028,1,1,1,1.0
998,Halovirus~HCTV-5,Unassigned,Unassigned,Unassigned,434_0,Clustered,3,VC_434_0,3,0.9085,0.98867275,0.8982,1,1,1,1.0
999,Halovirus~HHTV-2,Unassigned,Unassigned,Unassigned,437_0,Clustered,2,VC_437_0,2,0.4708,0.85557782,0.4028,1,1,1,1.0
1000,Halovirus~HRTV-5,Caudovirales,Myoviridae,Unassigned,435_0,Clustered,3,VC_435_0,3,0.7435,0.99294245,0.7382,1,1,1,1.0
1001,Halovirus~HRTV-7,Caudovirales,Myoviridae,Unassigned,436_0,Clustered,2,VC_436_0,2,0.4049,0.91237788,0.3694,1,1,1,1.0
1002,Halovirus~HRTV-8,Caudovirales,Myoviridae,Unassigned,435_0,Clustered,3,VC_435_0,3,0.7435,0.99294245,0.7382,1,1,1,1.0
1003,Halovirus~HSTV-2,Caudovirales,Myoviridae,Unassigned,436_0,Clustered,2,VC_436_0,2,0.4049,0.91237788,0.3694,1,1,1,1.0
1004,Halovirus~HVTV-1,Unassigned,Unassigned,Unassigned,434_0,Clustered,3,VC_434_0,3,0.9085,0.98867275,0.8982,1,1,1,1.0
1005,Hamiltonella~virus~APSE1,Caudovirales,Podoviridae,Unassigned,241_0,Clustered,2,VC_241_0,2,0.115,0.95349943,0.1096,1,1,1,1.0
1006,Helicobacter~phage~1961P,Caudovirales,Podoviridae,Una961virus,438_0,Clustered,4,VC_438_0,4,1.0,1.0,1.0,2,1,1,1.0
1007,Helicobacter~phage~KHP30,Caudovirales,Podoviridae,Una961virus,438_0,Clustered,4,VC_438_0,4,1.0,1.0,1.0,2,1,1,1.0
1008,Helicobacter~phage~KHP40,Caudovirales,Podoviridae,Una961virus,438_0,Clustered,4,VC_438_0,4,1.0,1.0,1.0,2,1,1,1.0
1009,Helicobacter~phage~phiHP33,Caudovirales,Podoviridae,Schmidvirus,438_0,Clustered,4,VC_438_0,4,1.0,1.0,1.0,2,1,1,1.0
1010,Idiomarinaceae~phage~Phi1M2-2,Caudovirales,Siphoviridae,Unassigned,118_0,Clustered,5,VC_118_0,5,0.1995,0.99175875,0.1978,1,1,1,1.0
1011,Iodobacter~phage~PhiPLPE,Caudovirales,Myoviridae,Iodovirus,117_0,Clustered,8,VC_117_0,8,0.8451,1.0,0.8451,4,1,1,0.7857
1012,Klebsiella~phage~1513,Caudovirales,Siphoviridae,Kp36virus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1013,Klebsiella~phage~2044-307w,Caudovirales,Autographiviridae,Przondovirus,319_0,Clustered,23,VC_319_0,23,0.7332,1.0,0.7332,3,2,1,1.0
1014,Klebsiella~phage~3~LV-2017,Caudovirales,Myoviridae,Peduovirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1015,Klebsiella~phage~4~LV-2017,Caudovirales,Myoviridae,Peduovirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1016,Klebsiella~phage~AltoGao,Caudovirales,Autographiviridae,Drulisvirus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1017,Klebsiella~phage~F19,Caudovirales,Podoviridae,Kp34virus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1018,Klebsiella~phage~GH-K3,Caudovirales,Drexlerviridae,Webervirus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1019,Klebsiella~phage~Henu1,Caudovirales,Autographiviridae,Przondovirus,319_0,Clustered,23,VC_319_0,23,0.7332,1.0,0.7332,3,2,1,1.0
1020,Klebsiella~phage~JD001,Caudovirales,Myoviridae,Jedunavirus,117_0,Clustered,8,VC_117_0,8,0.8451,1.0,0.8451,4,1,1,0.7857
1021,Klebsiella~phage~K11,Caudovirales,Podoviridae,Kp32virus,319_0,Clustered,23,VC_319_0,23,0.7332,1.0,0.7332,3,2,1,1.0
1022,Klebsiella~phage~K5,Caudovirales,Podoviridae,Kp32virus,319_0,Clustered,23,VC_319_0,23,0.7332,1.0,0.7332,3,2,1,1.0
1023,Klebsiella~phage~K5-2,Caudovirales,Autographiviridae,Przondovirus,319_0,Clustered,23,VC_319_0,23,0.7332,1.0,0.7332,3,2,1,1.0
1024,Klebsiella~phage~K5-4,Caudovirales,Autographiviridae,Przondovirus,319_0,Clustered,23,VC_319_0,23,0.7332,1.0,0.7332,3,2,1,1.0
1025,Klebsiella~phage~KLPN1,Caudovirales,Siphoviridae,Kp36virus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1026,Klebsiella~phage~KOX1,Caudovirales,Drexlerviridae,Webervirus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1027,Klebsiella~phage~KP-Rio/2015,Caudovirales,Autographiviridae,Drulisvirus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1028,Klebsiella~phage~KP15,Caudovirales,Myoviridae,Kp15virus,45_0,Clustered,6,VC_45_0,6,0.1601,1.0,0.1601,2,1,1,1.0
1029,Klebsiella~phage~KP27,Caudovirales,Myoviridae,Kp15virus,45_0,Clustered,6,VC_45_0,6,0.1601,1.0,0.1601,2,1,1,1.0
1030,Klebsiella~phage~KP32,Caudovirales,Podoviridae,Kp32virus,319_0,Clustered,23,VC_319_0,23,0.7332,1.0,0.7332,3,2,1,1.0
1031,Klebsiella~phage~KP34,Caudovirales,Podoviridae,Kp34virus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1032,Klebsiella~phage~KP36,Caudovirales,Siphoviridae,Kp36virus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1033,Klebsiella~phage~KP8,Caudovirales,Podoviridae,Gamaleyavirus,7_0,Clustered,20,VC_7_0,20,0.6012,1.0,0.6012,7,1,1,0.8
1034,Klebsiella~phage~KPN~N137,Caudovirales,Siphoviridae,Unassigned,18_0,Clustered,20,VC_18_0,20,0.8174,1.0,0.8174,2,2,2,1.0
1035,Klebsiella~phage~KPN~N141,Caudovirales,Drexlerviridae,Webervirus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1036,Klebsiella~phage~KPV811,Caudovirales,Autographiviridae,Drulisvirus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1037,Klebsiella~phage~Kp2,Caudovirales,Podoviridae,Kp34virus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1038,Klebsiella~phage~KpCHEMY26,Caudovirales,Podoviridae,Ithacavirus,11_0,Clustered,5,VC_11_0,5,0.2592,0.99999996,0.2592,2,1,1,1.0
1039,Klebsiella~phage~KpKT21phi1,Caudovirales,Drexlerviridae,Webervirus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1040,Klebsiella~phage~KpV41,Caudovirales,Podoviridae,Kp34virus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1041,Klebsiella~phage~KpV475,Caudovirales,Podoviridae,Kp34virus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1042,Klebsiella~phage~KpV71,Caudovirales,Podoviridae,Kp34virus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1043,Klebsiella~phage~Magnus,Caudovirales,Ackermannviridae,Taipeivirus,34_0,Clustered,8,VC_34_0,8,0.0695,0.99741575,0.0693,1,1,1,0.9643
1044,Klebsiella~phage~Matisse,Caudovirales,Myoviridae,Kp15virus,45_0,Clustered,6,VC_45_0,6,0.1601,1.0,0.1601,2,1,1,1.0
1045,Klebsiella~phage~May,Caudovirales,Ackermannviridae,Taipeivirus,34_0,Clustered,8,VC_34_0,8,0.0695,0.99741575,0.0693,1,1,1,0.9643
1046,Klebsiella~phage~Menlow,Caudovirales,Ackermannviridae,Taipeivirus,34_0,Clustered,8,VC_34_0,8,0.0695,0.99741575,0.0693,1,1,1,0.9643
1047,Klebsiella~phage~MezzoGao,Caudovirales,Drexlerviridae,Webervirus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1048,Klebsiella~phage~Miro,Caudovirales,Myoviridae,Kp15virus,45_0,Clustered,6,VC_45_0,6,0.1601,1.0,0.1601,2,1,1,1.0
1049,Klebsiella~phage~NJR15,Caudovirales,Drexlerviridae,Webervirus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1050,Klebsiella~phage~NJS1,Caudovirales,Drexlerviridae,Webervirus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1051,Klebsiella~phage~NJS2,Caudovirales,Drexlerviridae,Webervirus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1052,Klebsiella~phage~NTUH-K2044-K1-1,Caudovirales,Podoviridae,Kp34virus,359_0,Clustered,21,VC_359_0,21,0.7305,1.0,0.7305,3,2,1,1.0
1053,Klebsiella~phage~PKP126,Caudovirales,Siphoviridae,Kp36virus,312_0,Clustered,18,VC_312_0,18,0.5238,1.0,0.5238,2,2,1,1.0
1054,Klebsiella~phage~PMBT1,Caudovirales,Myoviridae,Slopekvirus,45_0,Clustered,6,VC_45_0,6,0.1601,1.0,0.1601,2,1,1,1.0
1055,Klebsiella~phage~Pharr,Caudovirales,Autographiviridae,Przondovirus,319_0,Clustered,23,VC_319_0,23,0.7332,1.0,0.7332,3,2,1,1.0
1056,Klebsiella~phage~Pylas,Caudovirales,Podoviridae,Ithacavirus,11_0,Clustered,5,VC_11_0,5,0.2592,0.99999996,0.2592,2,1,1,1.0
1057,Klebsiella~phage~SH-Kp~152410,Caudovirales,Autographiviridae,Przondovirus,319_0,Clustered,23,VC_319_0,23,0.7332,1.0,0.7332,3,2,1,1.0
1058,Klebsiella~phage~ST13-OXA48phi12.1,Caudovirales,Myoviridae,Peduovirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1059,Klebsiella~phage~ST147-VIM1phi7.1,Caudovirales,Myoviridae,Peduovirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1060,Klebsiella~phage~ST15-OXA48phi14.1,Caudovirales,Myoviridae,Peduovirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1061,Klebsiella~phage~ST16-OXA48phi5.4,Caudovirales,Myoviridae,Peduovirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1062,Klebsiella~phage~ST437-OXA245phi4.1,Caudovirales,Myoviridae,Peduovirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1063,Klebsiella~phage~ST437-OXA245phi4.2,Caudovirales,Myoviridae,Peduovirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1064,Klebsiella~phage~ST512-KPC3phi13.2,Caudovirales,Myoviridae,Peduovirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1065,Klebsiella~phage~Seifer,Caudovirales,Siphoviridae,Unassigned,18_0,Clustered,20,VC_18_0,20,0.8174,1.0,0.8174,2,2,2,1.0
1066,Klebsiella~phage~Soft,Caudovirales,Siphoviridae,Unassigned,18_0,Clustered,20,VC_18_0,20,0.8174,1.0,0.8174,2,2,2,1.0
1067,Klebsiella~phage~Sugarland,Caudovirales,Demerecviridae,Sugarlandvirus,107_0,Clustered,2,VC_107_0,2,0.0357,0.95634558,0.0342,1,1,1,1.0
